Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,"UK Pavilion at Expo 2025 Osaka - Design, Build, Maintain & Decommission (DBMD)",ES Global Ltd,"Health & Safety - Actual Injuries and Near Misses.Cumulative number of actual injuries and near-misses
","Actual Injuries = 0
and/or
Near-Misses = 0",Inadequate,Yes,Near Misses - 2. This is beause of good reporting. Safety culture was encouraged on site as a positive rather than hiding near miss information
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Horizon Conviction Redress Scheme - ADR Facilitators,Dentons UK and Middle East LLP,The Supplier should coordinate with the parties within 2 Working Days of a request for ADR Stage 1 to find a suitable time for ADR  and identify a suitable team member to facilitate Alternative Dispute Resolution (ADR) Stage 1 discussions.,"GOOD: For 99%-100% of all cases, the Supplier has co-ordinated with parties within 2 working days.",Other - Consider returned,Yes,Nil return – no live cases formally referred to ADR Stage 1 so this KPI has not been measured in this quarter.
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,British Steel Ltd - Full Advisory Management Support Services,Ernst & Young LLP,Meeting social value commitment in line with Social Value Theme 4: Tackling Economic Inequalities (requirement hours 50,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,DBT - Trade Show & Business Events,Bray Leino Ltd,Delivery within agreed Charges - All events delivered within 5% of the final Charges agreed for an event.,100% are on time and accurate,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT Comms and Marketing,Media Buying DBT 2022-2025,Manning Gottlieb OMD,Campaign Planning - The Agency will work to agreed timelines at beginning of campaign for planning. Working to these timescales.,>=85%,Approaching Target,Yes,"It has been an exceptionally busy quarter with a high volume of campaign activity across multiple strands and complex ways of working. Despite the scale and pace, the vast majority of campaigns were set up correctly and went live as planned, which reflects significant effort and coordination from the teams involved. A small number of set?up issues and delays were experienced, often linked to the complexity of activity and fast turnaround times, but these were resolved and have provided useful learning for future activity."
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Delivery of Ministerial and Specialist Live Events (Primary Agency),Bray Leino Ltd,Delivery within agreed Charges - All events delivered within 5% of the final Charges agreed for an event in a Statement of Work.,95% and above,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Provision of Temporary Workers and Associated Services,Hays Specialist Recruitment Limited,"Recruitment Process Specialists: The Provider shall identify at least two suitable candidates per Specialist temporary role and submit their CVs to the hiring manager within 15 Working Days of the briefing call with the hiring manager. The suitability of the candidates shall be determined by the Contracting Authority (acting reasonably), having regard to the criteria specified in the assignment details.","0-4 occurrences where the KPI is not met, per Service Period (quarterly).",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,"Legal services in relation to CPTPP, Canada and Mexico trade negotiations",TLT LLP,Commission cost estimates revisions not to exceed 10%.,100%,Other - Consider returned,Yes,"No work was commissioned within this period, whichmeans there is no resultant performance data"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,"UK Pavilion at Expo 2025 Osaka - Design, Build, Maintain & Decommission (DBMD)",ES Global Ltd,SV Sustainability - assessed quarterly measurement and reporting of project specific carbon footprint impacts,Proof of measures the supplier is taking to improve the carbon footprint impact on the project regime,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,"Legal services in relation to CPTPP, Canada and Mexico trade negotiations",TLT LLP,Delivery and Support: 100% of legal advice received within agreed timescales.,100%,Other - Consider returned,Yes,"No work was commissioned within this period, whichmeans there is no resultant performance data"
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Panel and Chair services for Capture Redress Scheme,Dentons UK and Middle East LLP,"Demonstrating an understanding of issues relating to health and wellbeing, including physical and mental health, in the contract workforce.Proof of investment in the health and wellbeing of employees hired under this contract. Specific actions and results for each cohort reported on at each annual business review meeting.","Actions implemented for all cohorts, and results provided for all cohorts
",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Horizon Shortfall Scheme (HSS) Appeal (P&P*),Addleshaw Goddard LLP,Case Management System (CMS) availability: CMS is online and fully functioning to enable users to undertake all required functions set out in the Specification (*Availability time period does not include scheduled system updates.),CMS is available for users to undertake all functions 99%-100% of time period.,Requires Improvement,Yes,"The supplier has committed to improving this KPI in the next quarter, and will deliver an improvement plan setting out how this will be achieved and steps that will be taken to prevent reoccurrence."
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT - ESTR,GSCIP Graph-Style Database,Altana Technologies UK Ltd,KPI Report:   The supplier to submit a monthly KPI Report,Report sent to the Buyer Contract Manager by the 7th of the following calendar month,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Delivery of Ministerial and Specialist Live Events (Primary Agency),Bray Leino Ltd,"Wellness KPI - Quarterly report to be produced and shared one week ahead of the Quarterly Review Meetings.
Hours spent on wellbeing - wellness meetings, wellness week, lunch time walks, bi-weekly coffee mornings, early finishes (summer), wellbeing events and external speakers.",100% on time,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Provision of Temporary Workers and Associated Services,Hays Specialist Recruitment Limited,One FTE apprenticeship linked to this contract.  Measurement through the life of the contract will be based on progress towards 1. Progress toward recruitment and onboarding 2. A development plan put in place and monitored to ensure apprentice has the required support to reach key development milestones 3. Apprentice to achieve qualification towards the end of the contract.,Equal to or >95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,FBEIS Business Support Service,UMi Commercial Ltd,The supplier to detail how they are sustaining Social Value initiatives referenced in their tender response including any further details on any new initiatives launched.,Yes,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT - ESTR,GSCIP Graph-Style Database,Altana Technologies UK Ltd,Social Value:    One employment opportunity per contract year for those who face barriers,Creation of a minimum of one employment opportunity per contract year for those who face barriers,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,"UK Pavilion at Expo 2025 Osaka - Design, Build, Maintain & Decommission (DBMD)",ES Global Ltd,"Health & Safety - Fatalities. Cumulative number of actual fatalities, In order to achieve Green, this has to be zero (0)
",0,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Delivery of Ministerial and Specialist Live Events (Primary Agency),Bray Leino Ltd,Quality rating given by Events Team - Quality rating given by Authority stakeholders (work commissioner/Event Producer) and is the average score between 3 criteria. Each with a maximum of 5: a) Meeting project plan milestones (as agreed within a statement of work) b) Meeting agreed response times c) Project documentation completed within timelines,5,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT Comms and Marketing,Media Buying DBT 2022-2025,Manning Gottlieb OMD,"Social Responsibility - The Agency must promote diversity, inclusion & social mobility in attraction and recruitment",>=85%,Good,Yes,"The agency has placed a big focus over the last 12 months on how they can support talent from underrepresented groups through investment, opportunity, and sharing knowledge. There have been several initiatives they have taken to make sure they continue to promote diversity and inclusion across their workforce."
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Horizon Conviction Redress Scheme - ADR Facilitators,Dentons UK and Middle East LLP,Average daily chargeable hours worked on the matter,GOOD: 6.0 or less hours worked on average,Good,Yes,"Between January and March 2026, Dentons have been involved in supporting a Panel referral to the HCRS Chair on scheme wide issues. During this period, workforce of 16 people averaging approximately 27 minutes of work per day."
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,FBEIS Business Support Service,UMi Commercial Ltd, Service to be operational for a minimum of 99% of opening times over a rolling 12-month period.,99% - 100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT - ESTR,GSCIP Graph-Style Database,Altana Technologies UK Ltd,Dataset Ingestion and Fusion:   The Supplier refresh third party datasets on a monthly basis,All third party Datasets refreshed each calendar month,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT - ESTR,GSCIP Graph-Style Database,Altana Technologies UK Ltd,Support Documentation:    Provide documentation and supplementary training,"Documentation and training
provided at least twice per
year (a minimum of every 6
months) and in advance of
system changes",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT - ESTR,GSCIP Graph-Style Database,Altana Technologies UK Ltd,Support:    The supplier to provide telephone and support with Security Clearance,Data Engineering and Data Science Security cleared staff present at within the required timeframe,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,DBT Investment Services,OCO Global,Trainer Feedback- Assessed by post-course survey of learners who have undertaken courses.,92%+  of respondents select ‘Good’ or better for both trainers.,Other - Consider returned,Yes,No courses were undertaken
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT - ESTR,GSCIP Graph-Style Database,Altana Technologies UK Ltd,Support Resolution:     The supplier to resolve issues within 3 working days,"Within a calendar month, 100% of queries resolved within 3 working days",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Panel and Chair services for Capture Redress Scheme,Dentons UK and Middle East LLP,"Quarterly two page report summarising case statuses, average panel review duration and distribution of awards by banding matrix. The report must be submitted within 5 working days prior to the quarterly contract governance meetings. The report must address all required components, including
summaries of review panel activities, performance against KPIs, issues encountered and actions taken or proposed. (KPI measured quarterly)",Fully accurate reports presented five (5) Working Days or more prior to the quarterly contract governance meetings and is accurate and complete.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Contract for Amazon Web Services to Department for Business and Trade,Amazon Web Services EMEA SARL,"AMAZON RELATIONAL DATABASE SERVICE (AMAZON RDS) (MULTI-AZ CLUSTERS) -https://aws.amazon.com/rds/sla/?did=sla_card&trk=sla_card Amazon relational database (RDS) is the database technology that underpins the majority of the service we have build on AWS, RDS hosts the majority of databases for the digital services we create thus we have chosen RDS to measure our AWS service/contract performance.  RDS provides metrics we can track against and its performance is evidenced through AWS’s 99.9 uptime goals. The uptime of RDS are critical to the success of the overall AWS service offering.",>99.9%,Good,Yes,AWS provide their SLA's publicly for all of their services here :https://health.aws.amazon.com/health/status
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,DBT Investment Services,OCO Global,Research Satisfaction- Assessed by average satisfaction score from requestors using investor research services., 96%+ of respondents select “Satisfactory” or above.,Good,Yes,The supplier is exceeding the required performance satisfaction scores for research delivered.
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,DBT Investment Services,OCO Global,Campaigns and Collateral Satisfaction- Average satisfaction score of requestors for whom Campaigns and Collateral have been delivered. Feedback must only relate to agreed deliverables outlined in the PID (Project Inception Document).,95% or more of respondents select “Satisfied” or above.,Good,Yes,The supplier is exceeding the required level of satisfaction from the requestors for whom Campaigns and Collateral have been delivered.
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,"UK Pavilion at Expo 2025 Osaka - Design, Build, Maintain & Decommission (DBMD)",ES Global Ltd,"Cost Predictability - Design,Build, Maintain & Decommission. Chage between the actual costs of the Design & surveys Constrcution, Fitout, Maintenance and Decommission Works Packages at the Completion Date and the guranteed maximum price agreed at Tender and included within the Contract for each of the respective Works Packages (and as ameneded through compensation events), expressed as a percentage increase of the guranteed maximum price.(Any percentage decrease (ie a saving) shall be considered a green rating)",0%,Good,Yes,Whilst final contract price was agreed lower than the forecasted cost The cost was higher than the agreed total contract value through CE's.
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT Comms and Marketing,Media Buying DBT 2022-2025,Manning Gottlieb OMD,"Post Campaign Analysis - Provision of all post-campaign analysis requirements for the relevant campaign type, with reference to the contract.",>=85%,Other - Consider returned,Yes,"Post Campaig Analysis are in the process of being delivered for Q4, therefore we have nothing to mark them on."
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,DBT Investment Services,OCO Global,"Social Value- Initiatives
The Supplier shall deliver and evidence 12 or more wellbeing initiatives per contract year.",3 or more initiatives delivered and/or plans remain on track to meet or exceed the annual target.  ,Good,Yes,The supplier is exceeding the agreed Social Value Wellbeing plan with 12+ wellbeing initiatives being delivered during the contract year.
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Panel and Chair services for Capture Redress Scheme,Dentons UK and Middle East LLP,"Financial Reporting - The supplier must provide complete and accurate monthly financial reports (including costs, forecasts, and spend to date) in line with the agreed schedule and format. Reports to be completed within the first working week of the following month. Reports to contain correct data on  spend, forecast and breakdowns within the agreed timescales. (KPI measured monthly)", Report submitted within the first (5) working days of the following month and is accurate and complete.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DBT,DBT,Contract for Amazon Web Services to Department for Business and Trade,Amazon Web Services EMEA SARL,"ELASTICACHE FOR MEMCACHED CROSS-AZ CONFIGURATIONS AND ELASTICACHE FOR REDIS MULTI-AZ CONFIGURATIONS -https://aws.amazon.com/elasticache/sla/?did=sla_card&trk=sla_card There technologies (aka Redis) support quick data retrieval thus enhancing the response times of out digital services to customer ensuring a seamless user journey and the ability to operate are service at scale. The uptime, performance and response times of this technology are critical to the success of our digital services and therefore the overall AWS service offering.",>99.9%,Good,Yes,AWS provide their SLA's publicly for all of their services here :https://health.aws.amazon.com/health/status
